SampleID,tet(47),ANT(9)-Ib,lin,DHA-31,OXA-1163,ANT(4')-Ia,KPC-172,BJP-1,mphK,FosM1,BMHC-1,OKP-B-14,tet(50),CMY-127,tet(X),OXA-965,FRI-11,aadA14,rphB,FosA4,KLUG-1,aadA9,PEDO-2,LRA-19,DHA-12,FosM2,FomB,Clostridioides difficile nimB,Streptomyces venezuelae rox,tet(X3),BLMT,BCL-1,CBP-1,AAC(3)-IId,HER-5,MUS-1,DYB-1,cmlv,RSA1-1,vatE,LRA-13,LRA-17,cmeA,TriC,tetA(58),mtrE,patB,cmeB,smeC,smeE,acrB,kdpE,Mef(En2),basS,amrA,mdtB,TaeA,novA,abeM,mdtM,MuxC,cmx,tetA(60),Acinetobacter baumannii AbaQ,LpeB,bcrA,LpeA,facT,MexF,adeG,mtrD,cmeC,ceoB,AcrF,macB,adeC,MexW,rosB,tetA(46),TriA,adeF,adeB,msbA,mdtC,lmrD,MexA,OpmB,cprS,mexN,OprM,adeJ,MexE,basR,MexH,MuxB,mexQ,Acinetobacter baumannii AmvA,Neisseria gonorrhoeae mtrC with mutation conferring resistance to azithromycin,amrB,mdsB,tetA(P),cmlA8,bcr-1,adeI,MexK,oleC,Staphylococcus aureus norA,Acinetobacter baumannii AbaF,mlaD,otr(C),rosA,mlaF,MexB,qacEdelta1,mef(E),OprN,lmrB,Enterococcus faecalis liaR mutant conferring daptomycin resistance,Staphylococcus aureus LmrS,mexY,tet(43),patA,hmrM,adeA,Rhodococcus fascians cmr,tet(H),mdtN,RanA,kdpD,pp-flo,MexD,mdtF,mdtP,emrY,AcrE,Enterococcus faecium liaR mutant conferring daptomycin resistance,fexA,PmpM,efmA,YojI,Klebsiella pneumoniae acrA,emrA,mdsA,MexI,tet(42),Enterococcus faecium liaS mutant conferring daptomycin resistance,LptD,MexJ,tet(Z),qacJ
10_S15 ,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
12_S16 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13_S17 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,1,0,0,30,0,0,0,0,0,0,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14_S18 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_S6 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3_S8 ,0,0,0,0,45,18,4,0,0,0,0,0,0,5,21,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,31,50,10,49,0,0,31,0,0,0,10,9,11,0,0,0,0,0,0,59,0,0,0,0,41,0,0,24,0,0,0,0,0,13,26,0,0,0,0,0,0,5,0,0,0,18,2,0,0,0,0,0,115,0,0,33,0,0,0,3,0,0,9,16,149,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,7,5,41,15,5,4,0,0,1,0,20,3,17,0,4,0,0,2,0,0,0
4_S9 ,0,0,0,0,56,23,0,0,0,0,0,2,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,34,2,69,0,0,14,0,0,0,6,5,1,0,0,0,0,0,0,76,0,0,0,0,28,0,0,26,0,0,0,0,0,8,19,0,4,0,0,0,0,1,3,0,0,11,0,0,0,0,0,0,91,0,0,24,0,0,0,2,0,0,6,23,95,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,4,7,26,17,5,7,0,0,0,0,18,7,4,0,5,0,0,2,0,0,0
5_S10 ,0,0,0,0,72,7,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,25,0,16,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,29,0,0,0,0,17,0,0,28,0,0,0,0,0,2,13,0,0,0,0,1,0,7,0,0,0,3,1,0,0,0,2,0,95,0,0,22,0,0,0,7,0,0,6,13,137,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,17,3,18,7,4,4,0,0,0,0,5,2,4,0,0,0,0,0,0,0,0
6_S11 ,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7_S12 ,0,0,0,0,40,22,0,0,0,0,0,0,0,5,9,0,0,2,0,0,0,4,0,0,0,0,0,0,0,28,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,28,1,25,0,0,32,0,0,0,15,3,1,0,0,0,0,0,0,28,0,0,0,4,19,0,0,18,0,0,0,0,0,4,8,0,0,0,0,0,0,16,2,0,0,4,0,0,0,0,0,1,177,0,0,32,0,0,0,0,0,0,10,14,157,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,34,6,5,0,5,0,0,0,0,0,6,2,6,0,7,0,0,2,0,0,0
8_S13 ,0,0,0,0,9,3,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,24,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,13,0,0,0,0,0,2,15,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,49,0,0,10,0,0,0,0,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,10,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
9_S14 ,0,0,0,0,25,0,0,0,0,0,0,0,0,8,42,0,0,4,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,8,44,0,0,42,0,0,0,20,2,0,0,0,0,0,0,0,11,0,0,0,0,67,0,0,3,0,0,0,0,0,30,50,0,0,0,0,0,0,20,1,0,0,0,6,0,0,0,0,3,17,0,0,9,0,0,0,3,0,0,12,10,61,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,13,1,55,43,28,14,0,0,0,0,14,2,23,0,0,0,0,4,0,0,0
