,Number,Site,Date of sampling,SampleID
1S6R100,1,Radio Club,8_28_2020,1_S6
2S7R100,2,Boca Rio,8_28_2020,2_S7
3S8R100,3,Radio Club,11_10_2020,3_S8
4S9R100,4,Boca Rio,11_10_2020,4_S9
5S10R10,5,Radio Club,12_30_2020,5_S10
6S11R10,6,Boca Rio,12_30_2020,6_S11
7S12R10,7,Radio Club,1_27_2021,7_S12
8S13R10,8,Boca Rio,1_27_2021,8_S13
9S14R10,9,Radio Club,3_14_2021,9_S14
10S15R1,10,Boca Rio,3_14_2021,10_S15
12S16R1,12,Boca Rio,4_14_2021,12_S16
13S17R1,13,Radio Club,5_5_2021,13_S17
14S18R1,14,Boca Rio,5_5_2021,14_S18